Set No.,Set Name,Player,Country,State Association,Age,Specialism,Batting,Bowling,IPL,Previous IPLTeam(s),2021 Team,C/U/A,Base Price,Sold Price,New Franchise
8,UAL1,Riyan Parag,India,ASCA,20,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,30,RR,RR,Uncapped,30 L,3.8 CR,Rajasthan Royals
8,UAL1,Abhishek Sharma,India,PCA,21,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,22,SRH,SRH,Uncapped,20 L,6.5 CR,Sunrisers Hyderabad
8,UAL1,Rahul Tewatia,India,HCA,28,ALL-ROUNDER,LHB,RIGHT ARM Leg Spin,48,"KXIP,DC, RR",RR,Uncapped,40 L,9 CR,Gujarat Titans
9,UWK1,Sheldon Jackson,India,SCA,35,WICKETKEEPER,RHB,-,4,KKR,KKR,Uncapped,30 L,60 L,Kolkata Knight Riders
9,UWK1,Anuj Rawat,India,DDCA,22,WICKETKEEPER,LHB,-,2,RR,RR,Uncapped,20 L,3.4 CR,Royal Challengers Bangalore
9,UWK1,Jitesh Sharma,India,VCA,28,WICKETKEEPER,RHB,-,0,MI,,Uncapped,20 L,20 L,Punjab Kings
9,UWK1,Prabhsimran Singh,India,PCA,21,WICKETKEEPER,RHB,-,5,PBKS,PBKS,Uncapped,20 L,60 L,Punjab Kings
9,UWK1,Vishnu Vinod,India,KCA,28,WICKETKEEPER,RHB,-,3,"RCB, DC",DC,Uncapped,20 L,50 L,Sunrisers Hyderabad
10,UFA1,Akash Deep,India,CAB,25,BOWLER,RHB,RIGHT ARM Fast Medium,0,RCB,RCB,Uncapped,20 L,20 L,Royal Challengers Bangalore
10,UFA1,Tushar Deshpande,India,MCA,26,BOWLER,LHB,RIGHT ARM Fast,5,DC,,Uncapped,20 L,20 L,Chennai Super Kings
10,UFA1,Avesh Khan,India,MPCA,25,BOWLER,RHB,RIGHT ARM Fast,25,DC,DC,Uncapped,20 L,10 CR,Lucknow Super Giants
10,UFA1,Ishan Porel,India,CAB,23,BOWLER,RHB,RIGHT ARM Fast Medium,1,PBKS,PBKS,Uncapped,20 L,25 L,Punjab Kings
10,UFA1,Basil Thampi,India,KCA,28,BOWLER,RHB,RIGHT ARM Fast Medium,20,"GL, SRH",SRH,Uncapped,30 L,30 L,Mumbai Indians
10,UFA1,Kartik Tyagi,India,UPCA,21,BOWLER,RHB,RIGHT ARM Fast Medium,14,RR,RR,Uncapped,20 L,4 CR,Sunrisers Hyderabad
11,USP1,Noor Ahmad,Afghanistan,,17,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,Uncapped,30 L,30 L,Gujarat Titans
11,USP1,Murugan Ashwin,India,TNCA,31,BOWLER,RHB,RIGHT ARM Leg Spin,34,"RPS, DD, RCB, PBKS",PBKS,Uncapped,20 L,1.6 CR,Mumbai Indians
11,USP1,Shreyas Gopal,India,KSCA,28,BOWLER,RHB,RIGHT ARM Leg Spin,48,"MI, RR",RR,Uncapped,20 L,75 L,Sunrisers Hyderabad
11,USP1,Jagadeesha Suchith,India,KSCA,28,BOWLER,LHB,LEFT ARM Slow Orthodox,17,"MI, DC, KXIP, SRH",SRH,Uncapped,20 L,20 L,Sunrisers Hyderabad
12,BA2,Aiden Markram,South Africa,,27,BATSMAN,RHB,RIGHT ARM Off Spin,6,PBKS,PBKS,Capped,1 CR,2.60 CR,Sunrisers Hyderabad
12,BA2,Ajinkya Rahane,India,MCA,33,BATSMAN,RHB,-,151,"MI, RPS, RR, DC",DC,Capped,1 CR,1 CR,Kolkata Knight Riders
12,BA2,Mandeep Singh,India,PCA,30,BATSMAN,RHB,RIGHT ARM Medium,105,"RCB, PBKS",PBKS,Capped,50 L,1.10 CR,Delhi Capitals
13,AL2,Dominic Drakes,West Indies,,24,ALL-ROUNDER,LHB,LEFT ARM Fast,0,CSK,CSK,Capped,75 L,1.10 CR,Gujarat Titans
